=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2023-2-15_17-2-21
====================================================================================
17:2:21 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
17:2:21 | [PermissionManager] Perm (TeleportToCrosshair) has been registered!
17:2:21 | [PermissionManager] Perm (FreeCamera) has been registered!
17:2:21 | [PermissionManager] Perm (RepairVehiclesAtCrosshair) has been registered!
17:2:21 | [PermissionManager] Perm (MenuItemManager) has been registered!
17:2:21 | [PermissionManager] Perm (MenuItemManager:SpawnItem) has been registered!
17:2:21 | [PermissionManager] Perm (MenuItemManager:EditPreset) has been registered!
17:2:21 | [PermissionManager] Perm (MenuItemManager:SpawnPreset) has been registered!
17:2:21 | [PermissionManager] Perm (MenuItemManager:DeletePreset) has been registered!
17:2:21 | [PermissionManager] Perm (MenuItemManager:AddPreset) has been registered!
17:2:21 | [PermissionManager] Perm (MenuServerManager) has been registered!
17:2:21 | [PermissionManager] Perm (ServerManager:RestartServer) has been registered!
17:2:21 | [PermissionManager] Perm (ServerManager:LockServer) has been registered!
17:2:21 | [PermissionManager] Perm (ServerManager:KickAllPlayers) has been registered!
17:2:21 | [PermissionManager] Perm (ServerManager:LoadScripts) has been registered!
17:2:21 | [PermissionManager] Perm (MenuWeatherManager) has been registered!
17:2:21 | [PermissionManager] Perm (WeatherManager:ApplyWeather) has been registered!
17:2:21 | [PermissionManager] Perm (WeatherManager:ApplyTime) has been registered!
17:2:21 | [PermissionManager] Perm (WeatherManager:SavePreset) has been registered!
17:2:21 | [PermissionManager] Perm (WeatherManager:DeletePreset) has been registered!
17:2:21 | [PermissionManager] Perm (WeatherManager:ApplyPreset) has been registered!
17:2:21 | [PermissionManager] Perm (WeatherManager:ApplyTimePreset) has been registered!
17:2:21 | [PermissionManager] Perm (WeatherManager:SaveTimePreset) has been registered!
17:2:21 | [PermissionManager] Perm (WeatherManager:DeleteTimePreset) has been registered!
17:2:21 | [PermissionManager] Perm (MenuObjectManager) has been registered!
17:2:21 | [PermissionManager] Perm (MenuObjectManager:CreateNewSet) has been registered!
17:2:21 | [PermissionManager] Perm (MenuObjectManager:UpdateSet) has been registered!
17:2:21 | [PermissionManager] Perm (MenuObjectManager:DeleteSet) has been registered!
17:2:21 | [PermissionManager] Perm (MenuObjectManager:EditSet) has been registered!
17:2:21 | [PermissionManager] Perm (MenuPermissionsEditor) has been registered!
17:2:21 | [PermissionManager] Perm (PermissionsEditor:RemoveUser) has been registered!
17:2:21 | [PermissionManager] Perm (PermissionsEditor:AddUser) has been registered!
17:2:21 | [PermissionManager] Perm (PermissionsEditor:CreateUserGroup) has been registered!
17:2:21 | [PermissionManager] Perm (PermissionsEditor:DeleteUserGroup) has been registered!
17:2:21 | [PermissionManager] Perm (PermissionsEditor:ChangePermLevel) has been registered!
17:2:21 | [PermissionManager] Perm (MenuPlayerManager) has been registered!
17:2:21 | [PermissionManager] Perm (PlayerManager:GiveGodmode) has been registered!
17:2:21 | [PermissionManager] Perm (PlayerManager:BanPlayer) has been registered!
17:2:21 | [PermissionManager] Perm (PlayerManager:KickPlayer) has been registered!
17:2:21 | [PermissionManager] Perm (PlayerManager:HealPlayers) has been registered!
17:2:21 | [PermissionManager] Perm (PlayerManager:SetPlayerStats) has been registered!
17:2:21 | [PermissionManager] Perm (PlayerManager:KillPlayers) has been registered!
17:2:21 | [PermissionManager] Perm (PlayerManager:GodMode) has been registered!
17:2:21 | [PermissionManager] Perm (PlayerManager:SpectatePlayer) has been registered!
17:2:21 | [PermissionManager] Perm (PlayerManager:TeleportToPlayer) has been registered!
17:2:21 | [PermissionManager] Perm (PlayerManager:TeleportPlayerTo) has been registered!
17:2:21 | [PermissionManager] Perm (PlayerManager:SetPlayerInvisible) has been registered!
17:2:21 | [PermissionManager] Perm (PlayerManager:SendMessage) has been registered!
17:2:21 | [PermissionManager] Perm (PlayerManager:GiveUnlimitedAmmo) has been registered!
17:2:21 | [PermissionManager] Perm (PlayerManager:MakePlayerVomit) has been registered!
17:2:21 | [PermissionManager] Perm (PlayerManager:FreezePlayers) has been registered!
17:2:21 | [PermissionManager] Perm (PlayerManager:ChangeScale) has been registered!
17:2:21 | [PermissionManager] Perm (MenuBansManager) has been registered!
17:2:21 | [PermissionManager] Perm (BansManager:UnbanPlayer) has been registered!
17:2:21 | [PermissionManager] Perm (BansManager:UpdateBanDuration) has been registered!
17:2:21 | [PermissionManager] Perm (BansManager:UpdateBanReason) has been registered!
17:2:21 | [PermissionManager] Perm (MenuWebHooks) has been registered!
17:2:21 | [PermissionManager] Perm (MenuWebHooks:Create) has been registered!
17:2:21 | [PermissionManager] Perm (MenuWebHooks:Edit) has been registered!
17:2:21 | [PermissionManager] Perm (MenuWebHooks:Delete) has been registered!
17:2:21 | [PermissionManager] Perm (MenuTeleportManager) has been registered!
17:2:21 | [PermissionManager] Perm (TeleportManager:ViewPlayerPositions) has been registered!
17:2:21 | [PermissionManager] Perm (TeleportManager:TPPlayers) has been registered!
17:2:21 | [PermissionManager] Perm (TeleportManager:TPSelf) has been registered!
17:2:21 | [PermissionManager] Perm (TeleportManager:DeletePreset) has been registered!
17:2:21 | [PermissionManager] Perm (TeleportManager:AddNewPreset) has been registered!
17:2:21 | [PermissionManager] Perm (TeleportManager:EditPreset) has been registered!
17:2:21 | [PermissionManager] Perm (TeleportManager:TeleportEntity) has been registered!
17:2:21 | [PermissionManager] Perm (EspToolsMenu) has been registered!
17:2:21 | [PermissionManager] Perm (EspToolsMenu:DeleteObjects) has been registered!
17:2:21 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
17:2:21 | [PermissionManager] Perm (EspToolsMenu:RestPasscodeFence) has been registered!
17:2:21 | [PermissionManager] Perm (EspToolsMenu:RetriveCodeFromObj) has been registered!
17:2:21 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
17:2:21 | [PermissionManager] Perm (EspToolsMenu:InstantBaseBuild) has been registered!
17:2:21 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
17:2:21 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
17:2:21 | [PermissionManager] Adding Super Admin (76561197994877771)
17:2:21 | [PermissionManager] Loaded UserGroups.json
17:2:21 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
17:2:21 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
17:2:21 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
17:2:21 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
17:2:21 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
17:2:21 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
17:2:21 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
17:2:21 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
17:2:21 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
17:2:21 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
17:2:21 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
17:2:21 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
17:2:21 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
17:2:21 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
17:2:21 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
17:2:21 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
17:2:21 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
17:2:21 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
17:2:21 | Building Sets Loaded: 0
17:2:21 | [SteamAPIManager] WARNING couldn't fetch server IP from configs; using cURL...
17:2:21 | [SteamAPIManager] ERROR No steam API key configured, and or key is invalid.
17:3:38 | Player "Barba_Imersivo" (steamId=76561197994877771) connected to server!
17:4:4 | "Barba_Imersivo" (steamid=76561197994877771) executed kill command on: "76561197994877771"
17:35:2 | "Barba_Imersivo" (steamid=76561197994877771) Spawned Item: (GasMask)
17:35:19 | "Barba_Imersivo" (steamid=76561197994877771) Spawned Item: (FS_GAS_balon)
17:36:17 | "Barba_Imersivo" (steamid=76561197994877771) Spawned Item: (FS_GasFilter)
17:36:22 | "Barba_Imersivo" (steamid=76561197994877771) Spawned Item: (MVS_GasMaskBase)
17:38:54 | "Barba_Imersivo" (steamid=76561197994877771) Spawned Item: (GasMask)
17:39:5 | "Barba_Imersivo" (steamid=76561197994877771) Spawned Item: (GasMask_Filter)
17:41:27 | "Barba_Imersivo" (steamid=76561197994877771) Spawned Item: (FS_DETECTOR_1)
17:42:37 | "Barba_Imersivo" (steamid=76561197994877771) Spawned Item: (GeigerCounter)
17:42:43 | "Barba_Imersivo" (steamid=76561197994877771) Spawned Item: (FS_Geiger_Pripat)
17:42:46 | "Barba_Imersivo" (steamid=76561197994877771) Spawned Item: (Geigercounter_Osa)
17:42:48 | "Barba_Imersivo" (steamid=76561197994877771) Spawned Item: (Geigercounter_Sova)
17:42:49 | "Barba_Imersivo" (steamid=76561197994877771) Spawned Item: (Geigercounter_Opal)
17:44:6 | "Barba_Imersivo" (steamid=76561197994877771) Spawned Item: (Battery9V)
17:44:48 | "Barba_Imersivo" (steamid=76561197994877771) deleted object "GeigerCounter" (pos=<11812.345703, 13.297260, 5156.791992>)
17:44:52 | "Barba_Imersivo" (steamid=76561197994877771) deleted object "FS_DETECTOR_1" (pos=<11811.930664, 13.295405, 5156.909668>)
17:44:53 | "Barba_Imersivo" (steamid=76561197994877771) deleted object "FS_Geiger_Pripat" (pos=<11811.930664, 13.230189, 5156.909668>)
17:45:12 | "Barba_Imersivo" (steamid=76561197994877771) deleted object "Geigercounter_Sova" (pos=<11811.930664, 13.220446, 5156.909668>)
17:45:15 | "Barba_Imersivo" (steamid=76561197994877771) deleted object "Geigercounter_Opal" (pos=<11811.930664, 13.220446, 5156.909668>)
17:45:20 | "Barba_Imersivo" (steamid=76561197994877771) deleted object "GasMask" (pos=<11813.943359, 13.132233, 5158.119629>)
17:45:26 | "Barba_Imersivo" (steamid=76561197994877771) deleted object "FS_GAS_balon" (pos=<11819.344727, 13.204121, 5159.507324>)
17:45:28 | "Barba_Imersivo" (steamid=76561197994877771) deleted object "GasMask" (pos=<11819.344727, 13.132233, 5159.507324>)
